"filename", "language", "C++", "HTML", "JSON", "Markdown", "YAML", "Dart", "Shell Script", "Swift", "XML", "Gradle", "Java Properties", "Kotlin", "comment", "blank", "total"
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\utils\send_request.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 11, 66
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\utils\util_functions.dart", "Dart", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 10, 21, 148
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\watermark_demo.dart", "Dart", 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 7, 14, 242
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\linux\flutter\generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\linux\my_application.cc", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 4, 27
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\pubspec.yaml", "YAML", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 57, 15, 113
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\web\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\flutter\generated_plugin_registrant.cc", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 569, 19, 279, 13, 44, 2559, 8, 66, 487, 75, 8, 3, 430, 512, 5072
